instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3
2,2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8
3,2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5
4,2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3
5,2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0
6,2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0
7,2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2
8,2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1
9,2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1
10,2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8
11,2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12
12,2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26
13,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29
14,2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47
15,2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35
16,2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40
17,2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41
18,2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15
19,2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9
20,2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6
21,2011-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11
22,2011-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3
23,2011-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11
24,2011-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15
25,2011-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4
26,2011-01-02,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1
27,2011-01-02,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1
28,2011-01-02,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2
29,2011-01-02,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2
30,2011-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0
31,2011-01-02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0
32,2011-01-02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0
33,2011-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1
34,2011-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7
35,2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16
36,2011-01-02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20
37,2011-01-02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11
38,2011-01-02,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4
39,2011-01-02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19
40,2011-01-02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9
41,2011-01-02,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7
42,2011-01-02,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10
43,2011-01-02,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1
44,2011-01-02,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5
45,2011-01-02,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11
46,2011-01-02,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0
47,2011-01-02,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0
48,2011-01-03,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0
49,2011-01-03,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0
50,2011-01-03,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0
51,2011-01-03,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0
52,2011-01-03,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0
53,2011-01-03,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1
54,2011-01-03,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1
55,2011-01-03,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7
56,2011-01-03,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11
57,2011-01-03,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10
58,2011-01-03,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13
59,2011-01-03,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8
60,2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11
61,2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14
62,2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9
63,2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11
64,2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9
65,2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8
66,2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3
67,2011-01-03,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3
68,2011-01-03,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0
69,2011-01-03,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1
70,2011-01-04,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0
71,2011-01-04,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0
72,2011-01-04,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0
73,2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0
74,2011-01-04,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0
75,2011-01-04,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0
76,2011-01-04,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2
77,2011-01-04,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2
78,2011-01-04,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2
79,2011-01-04,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5
80,2011-01-04,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7
81,2011-01-04,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12
82,2011-01-04,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18
83,2011-01-04,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9
84,2011-01-04,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17
85,2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15
86,2011-01-04,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10
87,2011-01-04,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3
88,2011-01-04,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2
89,2011-01-04,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1
90,2011-01-04,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0
91,2011-01-04,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1
92,2011-01-04,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2
93,2011-01-05,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0
94,2011-01-05,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0
95,2011-01-05,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0
96,2011-01-05,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0
97,2011-01-05,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0
98,2011-01-05,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0
99,2011-01-05,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1
100,2011-01-05,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3
101,2011-01-05,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6
102,2011-01-05,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4
103,2011-01-05,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12
104,2011-01-05,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5
105,2011-01-05,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6
106,2011-01-05,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10
107,2011-01-05,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7
108,2011-01-05,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4
109,2011-01-05,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4
110,2011-01-05,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3
111,2011-01-05,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5
112,2011-01-05,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7
113,2011-01-05,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3
114,2011-01-05,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1
115,2011-01-05,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1
116,2011-01-06,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0
117,2011-01-06,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0
118,2011-01-06,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0
119,2011-01-06,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0
120,2011-01-06,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0
121,2011-01-06,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0
122,2011-01-06,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0
123,2011-01-06,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3
124,2011-01-06,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6
125,2011-01-06,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3
126,2011-01-06,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2
127,2011-01-06,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6
128,2011-01-06,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12
129,2011-01-06,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11
