instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,registered
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,13
2,2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,32
3,2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,27
4,2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,10
5,2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,1
6,2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,1
7,2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,0
8,2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,2
9,2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,7
10,2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,6
11,2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,24
12,2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,30
13,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,55
14,2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47
15,2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,71
16,2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,70
17,2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,52
18,2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,52
19,2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,26
20,2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,31
21,2011-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,25
22,2011-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,31
23,2011-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,17
24,2011-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,24
25,2011-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,13
26,2011-01-02,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,16
27,2011-01-02,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,8
